accel,gyro,miclevel,Label
"0.020484864711761475,1.0919160842895508,-0.21285736560821533","0.061905164271593094,-1.1218223571777344,-4.335159778594971","-10.18260383605957,-23.199352264404297",Walking
"0.11779928207397461,1.0812902450561523,-0.22265291213989258","0.09666180610656738,-1.0186216831207275,-3.8448143005371094","-10.18260383605957,-23.667491912841797",Walking
"0.21721351146697998,0.8859815001487732,-0.23220610618591309","-0.02688622660934925,-0.696036159992218,-2.727820634841919","-10.739883422851562,-24.67930793762207",Walking
"0.2884683609008789,0.6649330854415894,-0.24030184745788574","-0.5556194186210632,0.2242782562971115,-2.3104124069213867","-11.297162055969238,-17.138080596923828",Walking
"0.37263578176498413,0.6146084070205688,-0.2615392208099365","-0.7536827325820923,0.6823062896728516,-2.33261775970459","-12.41171932220459,-18.288440704345703",Walking
"0.5920453667640686,0.6282570362091064,-0.2865915298461914","-0.6170154213905334,1.1246147155761719,-2.233215808868408","-12.218659400939941,-16.740131378173828",Walking
"0.7683853507041931,0.6910683512687683,-0.23652875423431396","-0.08979342132806778,0.8547118902206421,-1.6880028247833252","-12.218659400939941,-17.116378784179688",Walking
"0.8182428479194641,0.709102988243103,-0.18784832954406738","0.13115572929382324,0.6251543164253235,-1.23635733127594","-12.218659400939941,-17.820459365844727",Walking
"0.8894084692001343,0.6857764720916748,-0.08884978294372559","0.04785871505737305,0.33908021450042725,-0.04823065549135208","-12.218659400939941,-19.160781860351562",Walking
"0.8660643100738525,0.6343424320220947,-0.05195903778076172","-0.6540107131004333,0.4731101989746094,1.2420549392700195","-12.218659400939941,-20.155317306518555",Walking
"0.8279175758361816,0.6247599124908447,-0.07774162292480469","-0.9676533341407776,0.5609716176986694,1.7443984746932983","-12.218659400939941,-21.21819496154785",Walking
"0.7347795367240906,0.646405041217804,-0.12283813953399658","-1.0445507764816284,0.5467732548713684,2.4946694374084473","-12.218659400939941,-23.26839828491211",Walking
"0.5976403951644897,0.7831748723983765,-0.08466923236846924","-0.6349949836730957,0.2413129061460495,3.275631904602051","-12.218659400939941,-24.02599334716797",Walking
